date,adjusted_close
2024-04-09,168.8726
2024-04-10,166.9915
2024-04-11,174.2174
2024-04-12,175.7203
2024-04-15,171.8784
2024-04-16,168.584
2024-04-17,167.2105
2024-04-18,166.255
2024-04-19,164.2246
2024-04-22,165.0606
2024-04-23,166.1156
2024-04-24,168.2257
2024-04-25,169.0916
2024-04-26,168.5044
2024-04-29,172.6846
2024-04-30,169.5295
2024-05-01,168.5044
2024-05-02,172.2168
2024-05-03,182.5182
2024-05-06,180.856
2024-05-07,181.5428
2024-05-08,181.8812
2024-05-09,183.7026
2024-05-10,182.4368
2024-05-13,185.656
2024-05-14,186.8022
2024-05-15,189.0845
2024-05-16,189.2041
2024-05-17,189.234
2024-05-20,190.4001
2024-05-21,191.7057
2024-05-22,190.2606
2024-05-23,186.254
2024-05-24,189.3436
2024-05-28,189.3536
2024-05-29,189.6526
2024-05-30,190.6492
2024-05-31,191.606
2024-06-03,193.3801
2024-06-04,193.699
2024-06-05,195.2139
2024-06-06,193.8286
2024-06-07,196.2305
2024-06-10,192.4731
2024-06-11,206.4561
2024-06-12,212.3563
2024-06-13,213.5224
2024-06-14,211.7782
2024-06-17,215.9442
2024-06-18,213.5722
2024-06-20,208.9776
2024-06-21,206.795
2024-06-24,207.4428
2024-06-25,208.3697
2024-06-26,212.5357
2024-06-27,213.3828
2024-06-28,209.9145
2024-07-01,216.024
2024-07-02,219.5322
2024-07-03,220.8079
2024-07-05,225.5818
2024-07-08,227.0569
2024-07-09,227.914
2024-07-10,232.1996
2024-07-11,226.8077
2024-07-12,229.7678
2024-07-15,233.6148
2024-07-16,234.0334
2024-07-17,228.1133
2024-07-18,223.4291
2024-07-19,223.5586
2024-07-22,223.2098
2024-07-23,224.2563
2024-07-24,217.808
2024-07-25,216.7615
2024-07-26,217.2299
2024-07-29,217.509
2024-07-30,218.0671
2024-07-31,221.3361
2024-08-01,217.6286
2024-08-02,219.1235
2024-08-05,208.569
2024-08-06,206.5359
2024-08-07,209.1172
2024-08-08,212.5955
2024-08-09,215.5157
2024-08-12,217.0523
2024-08-13,220.7841
2024-08-14,221.2331
2024-08-15,224.2265
2024-08-16,225.5536
2024-08-19,225.3939
2024-08-20,226.0126
2024-08-21,225.9028
2024-08-22,224.0369
2024-08-23,226.3418
2024-08-26,226.6811
2024-08-27,227.5292
2024-08-28,225.9926
2024-08-29,229.2854
2024-08-30,228.4971
2024-09-03,222.2808
2024-09-04,220.365
2024-09-05,221.8916
2024-09-06,220.3351
2024-09-09,220.4249
2024-09-10,219.6266
2024-09-11,222.171
2024-09-12,222.2808
2024-09-13,222.0114
2024-09-16,215.8449
2024-09-17,216.3139
2024-09-18,220.2054
2024-09-19,228.3674
2024-09-20,227.6989
2024-09-23,225.9727
2024-09-24,226.8707
2024-09-25,225.8729
2024-09-26,227.0204
2024-09-27,227.2898
2024-09-30,232.4883
2024-10-01,225.7132
2024-10-02,226.282
2024-10-03,225.1744
2024-10-04,226.3019
2024-10-07,221.2032
2024-10-08,225.2742
2024-10-09,229.0359
